name,begin_date,end_date,type,cancelled,disambiguation,setlist,time,edit_note,rel0_target,rel0_type,rel0_target_credit,rel1_target,rel1_type,rel1_target_credit,rel2_target,rel2_type,rel2_target_credit,rel3_target,rel3_type,rel3_target_credit,rel4_target,rel4_type,rel4_target_credit,rel5_target,rel5_type,rel5_target_credit,rel6_target,rel6_type,rel6_target_credit,rel7_target,rel7_type,rel7_target_credit,place_plain,main_performers_plain,supporting_acts_plain,supporting_act_1,supporting_act_2,supporting_act_3,supporting_act_4,supporting_act_5,supporting_act_6
"Docents at Trans Pecos 2/Cohort B, CS Cleaners, Sunchoked",2024-02-09,2024-02-09,1,,,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,"Trans Pecos 2/Cohort B, CS Cleaners, Sunchoked",e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,,,,,,,,,,,,,,,,,,,"Trans Pecos 2/Cohort B, CS Cleaners, Sunchoked",Docents,,,,,,,
Docents at Skidmore College/Lively Lucy’s,2024-03-28,2024-03-28,1,,,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,Skidmore College/Lively Lucy’s,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,,,,,,,,,,,,,,,,,,,Skidmore College/Lively Lucy’s,Docents,,,,,,,
Docents at Alphaville,2024-04-04,2024-04-04,1,,,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,Alphaville,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Libby Quinn,492a850e-97eb-306a-a85e-4b6d98527796,,Plant Fight,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,,,,Alphaville,Docents,Libby Quinn; Plant Fight,Libby Quinn,Plant Fight,,,,
Docents at Baker Falls/Knitting Factory Presents,2024-05-04,2024-05-04,1,,,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,Baker Falls/Knitting Factory Presents,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Maxband,492a850e-97eb-306a-a85e-4b6d98527796,,Landowner,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,,,,Baker Falls/Knitting Factory Presents,Docents,Maxband; Landowner,Maxband,Landowner,,,,
Docents at The Broadway,2024-05-14,2024-05-14,1,,,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,The Broadway,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Suburban Speed,492a850e-97eb-306a-a85e-4b6d98527796,,Buice,492a850e-97eb-306a-a85e-4b6d98527796,,Maxuma,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,The Broadway,Docents,Suburban Speed; Buice; Maxuma,Suburban Speed,Buice,Maxuma,,,
Docents at Alphaville,2024-05-23,2024-05-23,1,,,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,Alphaville,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Nick Cage,492a850e-97eb-306a-a85e-4b6d98527796,,CS Cleaners,492a850e-97eb-306a-a85e-4b6d98527796,,Qirl,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,Alphaville,Docents,Nick Cage; CS Cleaners; Qirl,Nick Cage,CS Cleaners,Qirl,,,
Docents at Pianos,2024-05-24,2024-05-24,1,,,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,Pianos,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Air and The Hallucinations,492a850e-97eb-306a-a85e-4b6d98527796,,King in Yellow,492a850e-97eb-306a-a85e-4b6d98527796,,PTCHWRK,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,Pianos,Docents,Air and The Hallucinations; King in Yellow; PTCHWRK,Air and The Hallucinations,King in Yellow,PTCHWRK,,,
Docents at Purgatory,2024-07-14,2024-07-14,1,,,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,Purgatory,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Violet and The Stanzas,492a850e-97eb-306a-a85e-4b6d98527796,,Goodcry,492a850e-97eb-306a-a85e-4b6d98527796,,Sunchoked,492a850e-97eb-306a-a85e-4b6d98527796,,Julia Casablancas,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,Purgatory,Docents,Violet and The Stanzas; Goodcry; Sunchoked; Julia Casablancas,Violet and The Stanzas,Goodcry,Sunchoked,Julia Casablancas,,
Docents at The Lilypad,2024-08-22,2024-08-22,1,,Docents Summer Tour ’24,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,The Lilypad,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Pew Pew,492a850e-97eb-306a-a85e-4b6d98527796,,Sacred Heart Auto League,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,,,,The Lilypad,Docents,Pew Pew; Sacred Heart Auto League,Pew Pew,Sacred Heart Auto League,,,,
Docents at Junktiques,2024-08-23,2024-08-23,1,,Docents Summer Tour ’24,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,Junktiques,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Dogwater,492a850e-97eb-306a-a85e-4b6d98527796,,Sammy+Vera,492a850e-97eb-306a-a85e-4b6d98527796,,Fuzzybones,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,Junktiques,Docents,Dogwater; Sammy+Vera; Fuzzybones,Dogwater,Sammy+Vera,Fuzzybones,,,
Docents at La Sala Rossa,2024-08-25,2024-08-25,1,,Docents Summer Tour ’24,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,La Sala Rossa,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Clay Pigeon,492a850e-97eb-306a-a85e-4b6d98527796,,Faux Watson,492a850e-97eb-306a-a85e-4b6d98527796,,Ryan Robinson,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,La Sala Rossa,Docents,Clay Pigeon; Faux Watson; Ryan Robinson,Clay Pigeon,Faux Watson,Ryan Robinson,,,
Docents at The Baby G,2024-08-26,2024-08-26,1,,Docents Summer Tour ’24,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,The Baby G,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Glum,492a850e-97eb-306a-a85e-4b6d98527796,,Plush,492a850e-97eb-306a-a85e-4b6d98527796,,Lawngirl,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,The Baby G,Docents,Glum; Plush; Lawngirl,Glum,Plush,Lawngirl,,,
Docents at Bar Bad Ending,2024-08-27,2024-08-27,1,,Docents Summer Tour ’24,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,Bar Bad Ending,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,God’s Computer,492a850e-97eb-306a-a85e-4b6d98527796,,Eclectic Blend,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,,,,Bar Bad Ending,Docents,God’s Computer; Eclectic Blend,God’s Computer,Eclectic Blend,,,,
Docents at Foto Club,2024-08-29,2024-08-29,1,,Docents Summer Tour ’24,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,Foto Club,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Blood,492a850e-97eb-306a-a85e-4b6d98527796,,Ratsmagick,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,,,,Foto Club,Docents,Blood; Ratsmagick,Blood,Ratsmagick,,,,
Docents at The Broadway,2024-08-30,2024-08-30,1,,Docents Summer Tour ’24,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,The Broadway,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Don Pardo,492a850e-97eb-306a-a85e-4b6d98527796,,CS Cleaners,492a850e-97eb-306a-a85e-4b6d98527796,,Cronies,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,The Broadway,Docents,Don Pardo; CS Cleaners; Cronies,Don Pardo,CS Cleaners,Cronies,,,
Docents at Julian’s House,2024-09-11,2024-09-11,1,,,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,Julian’s House,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Bunny Tonight,492a850e-97eb-306a-a85e-4b6d98527796,,Discotelle,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,,,,Julian’s House,Docents,Bunny Tonight; Discotelle,Bunny Tonight,Discotelle,,,,
